,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7001,F34494,6165.0,E,2.0,2021-03-10 17:55:15.997,2021-03-10,2021-03-10,2021-03-10,,1730.4875000000002,0.0,0.0
7002,F35269,6169.0,C,2.0,2021-06-08 17:05:57.940,2021-06-08,2021-06-08,2021-06-08,2021-06-09,294.5,0.0,0.0
7003,F35272,6169.0,E,2.0,2021-06-09 15:48:26.377,2021-06-09,2021-06-09,2021-06-09,,2948.5000000000005,0.0,0.0
7004,F37112,6169.0,E,2.0,2022-01-13 15:41:55.133,2022-01-13,2022-01-13,2022-01-13,,482.0,0.0,0.0
7005,F34024,6170.0,E,2.0,2021-01-28 11:48:03.310,2021-01-28,2021-01-28,2021-01-28,,449.00000000000006,0.0,0.0
7006,F36891,6170.0,E,2.0,2021-12-08 15:49:12.793,2021-12-08,2021-12-08,2021-12-08,,851.7993,0.0,0.0
7007,F30817,6174.0,E,3.0,2020-01-16 12:34:41.000,2020-01-16,2019-12-23,2020-01-16,,1047.6000000000001,0.0,0.0
7008,F29625,6177.0,E,2.0,2019-09-24 10:54:25.000,2019-09-24,2019-09-24,2019-09-24,,4135.700000000001,0.0,0.0
7009,F29920,6177.0,E,2.0,2019-10-16 15:28:46.000,2019-10-16,2019-10-16,2019-10-16,,4135.700000000001,0.0,0.0
7010,F31989,6177.0,E,2.0,2020-06-15 14:24:53.000,2020-06-15,2020-06-15,2020-06-15,,435.0,0.0,0.0
7011,F32917,6177.0,E,2.0,2020-09-28 09:38:15.567,2020-09-28,2020-09-28,2020-09-28,,2555.19,0.0,0.0
7012,F34383,6177.0,E,2.0,2021-03-01 13:32:12.873,2021-03-01,2021-03-01,2021-03-01,,2244.0,0.0,0.0
7013,F36180,6177.0,E,2.0,2021-09-20 11:47:16.527,2021-09-20,2021-09-20,2021-09-20,,2772.0,0.0,0.0
7014,F36779,6177.0,E,2.0,2021-11-26 17:01:55.803,2021-11-26,2021-10-21,2021-11-26,,2555.4243,0.0,0.0
7015,F40162,6177.0,E,2.0,2023-02-16 17:12:42.220,2023-02-16,2023-02-16,2023-02-16,,689.7,0.0,0.0
7016,F32233,6178.0,E,2.0,2020-07-13 14:27:11.000,2020-07-13,2020-07-13,2020-07-13,,700.0000000000001,0.0,0.0
7017,F34242,6178.0,E,2.0,2021-02-18 10:55:39.467,2021-02-18,2021-02-18,2021-02-18,,890.1954000000001,0.0,0.0
7018,F36836,6178.0,E,2.0,2021-12-02 12:23:45.467,2021-12-02,2021-12-02,2021-12-02,,479.3,0.0,0.0
7019,F29466,6179.0,E,1.0,2019-09-11 10:02:44.000,2019-09-11,2019-09-11,2019-09-11,,2623.8,0.0,0.0
7020,F31911,6179.0,E,1.0,2020-05-29 14:48:44.000,2020-05-29,2020-05-29,2020-05-29,,2755.0,0.0,0.0
7021,F31920,6179.0,E,5.0,2020-06-03 08:46:27.000,2020-06-03,2020-06-02,2020-06-03,,2755.0,0.0,0.0
7022,F37516,6179.0,E,3.0,2022-02-28 16:33:54.413,2022-02-28,2022-02-28,2022-02-28,,5951.700000000001,0.0,0.0
7023,F32369,6181.0,E,2.0,2020-07-28 14:37:08.000,2020-07-28,2020-07-28,2020-07-28,,402.50000000000006,0.0,0.0
7024,F29680,6184.0,E,2.0,2019-09-27 12:27:50.000,2019-09-27,2019-09-20,2019-09-27,,1190.0,0.0,0.0
7025,F29966,6184.0,E,2.0,2019-10-21 10:31:44.000,2019-10-21,2019-10-07,2019-10-21,,1837.0500000000002,0.0,0.0
7026,F30334,6184.0,E,2.0,2019-11-22 07:51:05.000,2019-11-22,2019-10-25,2019-11-22,,1551.2,0.0,0.0
7027,F31455,6184.0,E,2.0,2020-03-10 14:08:43.000,2020-03-10,2020-02-24,2020-03-10,,1038.0,0.0,0.0
7028,F30391,6187.0,E,2.0,2019-11-26 14:11:23.000,2019-11-26,2019-11-13,2019-11-26,,1448.0000000000002,0.0,0.0
7029,F34268,6187.0,E,2.0,2021-02-19 12:08:27.150,2021-02-19,2021-02-19,2021-02-19,,116.37930000000001,0.0,0.0
7030,F34398,6187.0,E,2.0,2021-03-02 16:10:41.653,2021-03-02,2021-02-26,2021-03-02,,116.37930000000001,0.0,0.0
7031,F34781,6187.0,E,4.0,2021-04-14 11:36:34.120,2021-04-14,2021-04-07,2021-04-14,,400.00000000000006,0.0,0.0
7032,F35722,6189.0,E,4.0,2021-07-30 12:26:45.323,2021-07-30,2021-08-06,2021-07-30,,1250.0,0.0,0.0
7033,F29945,6194.0,E,2.0,2019-10-17 16:52:48.000,2019-10-17,2019-10-15,2019-10-17,,1114.4,0.0,0.0
7034,F31012,6194.0,E,2.0,2020-02-05 14:06:41.000,2020-02-05,2020-02-05,2020-02-05,,175.2546,0.0,0.0
7035,F35346,6194.0,E,2.0,2021-06-17 16:24:05.827,2021-06-17,2021-06-17,2021-06-17,,1282.3275,0.0,0.0
7036,F36703,6194.0,E,2.0,2021-11-18 12:34:05.130,2021-11-18,2021-11-12,2021-11-18,,1496.0000000000002,0.0,0.0
7037,F39177,6194.0,E,2.0,2022-09-29 11:49:40.190,2022-09-29,2022-10-04,2022-09-29,,2328.52,0.0,0.0
7038,F30645,6196.0,E,,2019-12-19 14:43:22.000,2019-12-19,2019-12-19,2019-12-19,,1181.7,0.0,0.0
7039,F31289,6198.0,E,4.0,2020-02-26 17:41:41.000,2020-02-26,2020-02-19,2020-02-26,,26700.000000000004,0.0,0.0
7040,F31301,6198.0,E,4.0,2020-02-27 12:30:09.000,2020-02-27,2020-02-27,2020-02-27,,8000.000000000001,0.0,0.0
7041,F34125,6198.0,E,4.0,2021-02-05 14:38:34.933,2021-02-05,2021-02-05,2021-02-05,,8620.689600000002,0.0,0.0
7042,F34185,6198.0,E,4.0,2021-02-12 13:45:34.743,2021-02-12,2021-02-12,2021-02-12,,17800.0,0.0,0.0
7043,F37059,6198.0,E,3.0,2022-01-05 17:43:53.637,2022-01-05,2022-01-05,2022-01-05,,1542.555,0.0,0.0
7044,F30735,6202.0,E,2.0,2020-01-08 11:15:12.000,2020-01-08,2020-01-08,2020-01-08,,1193.2800000000002,0.0,0.0
7045,F30841,6202.0,E,2.0,2020-01-20 14:30:04.000,2020-01-20,2020-01-10,2020-01-20,,280.18,0.0,0.0
7046,F31005,6202.0,E,2.0,2020-02-05 12:44:22.000,2020-02-05,2020-01-24,2020-02-05,,1681.08,0.0,0.0
7047,F32853,6202.0,E,2.0,2020-09-18 12:11:25.743,2020-09-18,2020-09-02,2020-09-18,,420.27000000000004,0.0,0.0
7048,F32854,6202.0,E,2.0,2020-09-18 12:13:29.003,2020-09-18,2020-09-02,2020-09-18,,420.27750000000003,0.0,0.0
7049,F35582,6202.0,E,2.0,2021-07-15 13:14:50.377,2021-07-15,2021-07-15,2021-07-15,,1864.1800000000003,0.0,0.0
7050,F36921,6202.0,E,2.0,2021-12-14 15:38:18.480,2021-12-14,2021-12-06,2021-12-14,,1330.0400000000002,0.0,0.0
7051,F37064,6202.0,E,3.0,2022-01-06 15:44:18.663,2022-01-06,2022-01-06,2022-01-06,,1995.0600000000002,0.0,0.0
7052,F37659,6202.0,E,2.0,2022-03-17 08:18:20.917,2022-03-17,2022-03-17,2022-03-17,,1703.7504,0.0,0.0
7053,F37789,6202.0,E,2.0,2022-03-31 10:43:48.840,2022-03-31,2022-04-05,2022-03-31,,4987.5,0.0,0.0
7054,F39322,6202.0,E,2.0,2022-10-18 09:53:36.013,2022-10-18,2022-10-18,2022-10-18,,3407.5008,0.0,0.0
7055,F39323,6202.0,E,2.0,2022-10-18 09:57:28.190,2022-10-18,2022-10-21,2022-10-18,,6650.0,0.0,0.0
7056,F30375,6204.0,E,2.0,2019-11-25 17:14:15.000,2019-11-25,2019-11-22,2019-11-25,,2967.2500000000005,0.0,0.0
7057,F30615,6204.0,E,2.0,2019-12-17 17:54:54.000,2019-12-17,2019-11-27,2019-12-17,,3465.0000000000005,0.0,0.0
7058,F30970,6204.0,E,3.0,2020-01-31 14:08:13.000,2020-01-31,2020-01-16,2020-01-31,,18530.300000000003,0.0,0.0
7059,F30352,6205.0,E,2.0,2019-11-22 12:52:43.000,2019-11-22,2019-11-22,2019-11-22,,5600.0,0.0,0.0
7060,F30361,6205.0,E,2.0,2019-11-25 10:46:39.000,2019-11-25,2019-11-25,2019-11-25,,380.00000000000006,0.0,0.0
7061,F30417,6205.0,C,2.0,2019-11-28 09:57:15.000,2019-11-28,2019-11-22,2019-11-28,2019-11-28,19600.0,0.0,0.0
7062,F30418,6205.0,E,2.0,2019-11-28 10:04:52.000,2019-11-28,2019-11-22,2019-11-28,,19600.0,0.0,0.0
7063,F30517,6205.0,E,2.0,2019-12-06 13:22:48.000,2019-12-06,2019-11-25,2019-12-06,,1400.0000000000002,0.0,0.0
7064,F30713,6205.0,E,2.0,2020-01-07 10:02:48.000,2020-01-07,2019-12-06,2020-01-07,,9541.7,477.09000000000003,0.0
7065,F30714,6205.0,E,2.0,2020-01-07 10:11:25.000,2020-01-07,2020-01-07,2020-01-07,,340.63000000000005,0.0,0.0
7066,F29505,6211.0,E,2.0,2019-09-13 13:30:56.000,2019-09-13,2019-09-13,2019-09-13,,315.0,0.0,0.0
7067,F29514,6211.0,E,2.0,2019-09-17 12:08:40.000,2019-09-17,2019-09-17,2019-09-17,,305.52000000000004,0.0,0.0
7068,F30133,6211.0,E,2.0,2019-11-04 11:10:25.000,2019-11-04,2019-11-04,2019-11-04,,350.00000000000006,0.0,0.0
7069,F30186,6211.0,C,2.0,2019-11-07 12:56:12.000,2019-11-07,2019-11-07,2019-11-07,2019-11-08,406.0,0.0,0.0
7070,F30191,6211.0,E,2.0,2019-11-07 14:51:47.000,2019-11-07,2019-11-07,2019-11-07,,305.25,0.0,0.0
7071,F30359,6211.0,E,2.0,2019-11-25 09:41:13.000,2019-11-25,2019-11-25,2019-11-25,,305.25,0.0,0.0
7072,F30508,6211.0,E,2.0,2019-12-05 14:44:29.000,2019-12-05,2019-12-05,2019-12-05,,700.0000000000001,0.0,0.0
7073,F31079,6211.0,E,2.0,2020-02-10 16:54:27.000,2020-02-10,2020-02-10,2020-02-10,,350.0,0.0,0.0
7074,F31431,6211.0,E,2.0,2020-03-06 17:34:27.000,2020-03-06,2020-03-06,2020-03-06,,350.00000000000006,0.0,0.0
7075,F31560,6211.0,E,2.0,2020-03-20 08:46:48.000,2020-03-20,2020-03-20,2020-03-20,,350.0,0.0,0.0
7076,F32607,6211.0,E,2.0,2020-08-21 14:21:36.287,2020-08-21,2020-08-21,2020-08-21,,381.80170000000004,0.0,0.0
7077,F33113,6211.0,E,2.0,2020-10-14 13:21:22.513,2020-10-14,2020-10-14,2020-10-14,,220.50000000000003,0.0,0.0
7078,F34532,6211.0,E,2.0,2021-03-16 15:59:51.863,2021-03-16,2021-03-16,2021-03-16,,381.80170000000004,0.0,0.0
7079,F35159,6211.0,E,2.0,2021-05-26 09:31:50.060,2021-05-26,2021-05-26,2021-05-26,,381.81820000000005,0.0,0.0
7080,F35399,6211.0,E,6.0,2021-06-24 14:44:21.560,2021-06-24,2021-06-24,2021-06-24,,381.82000000000005,0.0,0.0
7081,F35402,6211.0,E,2.0,2021-06-25 08:34:05.067,2021-06-25,2021-06-25,2021-06-25,,381.8182,0.0,0.0
7082,F36205,6211.0,E,2.0,2021-09-22 08:48:47.853,2021-09-22,2021-09-22,2021-09-22,,385.0,0.0,0.0
7083,F36247,6211.0,E,2.0,2021-09-27 08:18:54.127,2021-09-27,2021-09-27,2021-09-27,,385.0,0.0,0.0
7084,F36258,6211.0,E,2.0,2021-09-28 09:06:56.863,2021-09-28,2021-09-28,2021-09-28,,385.00000000000006,0.0,0.0
7085,F36444,6211.0,E,2.0,2021-10-19 08:41:12.317,2021-10-19,2021-10-19,2021-10-19,,770.0,0.0,0.0
7086,F36964,6211.0,E,3.0,2021-12-21 11:34:24.113,2021-12-21,2021-12-21,2021-12-21,,770.0000000000001,0.0,0.0
7087,F37126,6211.0,E,2.0,2022-01-17 12:15:34.100,2022-01-17,2022-01-17,2022-01-17,,385.00000000000006,0.0,0.0
7088,F37259,6211.0,E,2.0,2022-02-02 09:32:34.137,2022-02-02,2022-02-02,2022-02-02,,385.0,0.0,0.0
7089,F37437,6211.0,E,2.0,2022-02-22 14:58:36.123,2022-02-22,2022-02-22,2022-02-22,,385.00000000000006,0.0,0.0
7090,F37622,6211.0,E,2.0,2022-03-15 09:57:20.987,2022-03-15,2022-03-15,2022-03-15,,385.0,0.0,0.0
7091,F38230,6211.0,E,2.0,2022-05-25 14:01:24.967,2022-05-25,2022-05-25,2022-05-25,,385.00000000000006,0.0,0.0
7092,F38386,6211.0,E,2.0,2022-06-15 15:16:16.320,2022-06-15,2022-06-15,2022-06-15,,385.0,0.0,0.0
7093,F39028,6211.0,E,2.0,2022-09-12 09:32:32.363,2022-09-12,2022-09-12,2022-09-12,,385.0,0.0,0.0
7094,F39125,6211.0,E,2.0,2022-09-22 17:35:03.517,2022-09-22,2022-09-22,2022-09-22,,442.75000000000006,0.0,0.0
7095,F33623,6212.0,E,2.0,2020-12-03 13:34:52.843,2020-12-03,2020-12-03,2020-12-03,,390.00000000000006,0.0,0.0
7096,F36901,6212.0,E,2.0,2021-12-09 16:11:10.230,2021-12-09,2021-12-09,2021-12-09,,428.70000000000005,0.0,0.0
7097,F37762,6212.0,E,2.0,2022-03-30 10:35:10.287,2022-03-30,2022-03-30,2022-03-30,,429.00000000000006,0.0,0.0
7098,F29923,6214.0,E,2.0,2019-10-16 17:26:23.000,2019-10-16,2019-10-16,2019-10-16,,1057.2000000000003,0.0,0.0
7099,F36222,6214.0,E,2.0,2021-09-23 13:50:29.227,2021-09-23,2021-09-23,2021-09-23,,1403.96,0.0,0.0
